playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,actualPoints,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2541187,Demetrius Harris,CLE,TE,28,6,7,14.773,28.21559633,5.215972803,1.723829324,9,13.44259633,355.1,51.5,7.5,4.18985985,NA,NA,16,23.49194213,-72.52170906,-67.125,-87.65874865,334,63,1.468246383,-4.532606816,-4.1953125,-5.478671791,NA,NA,NA,1,23.49194213
2552652,Chris Conley,JAC,WR,27,4,10,27.15,68.29492405,18.11294497,2.154300454,11,41.14492405,252.3,96.4,11.7,4.275344491,NA,NA,16,50.49574446,-72.58273821,-77.45827152,-70.94937005,335,101,3.155984029,-4.536421138,-4.84114197,-4.434335628,NA,NA,NA,1,50.49574446
2562317,Foster Moreau,OAK,TE,49,0,6,3.98,43.01261438,21.83536193,0.525260448,9,39.03261438,363.8,63.3,14.1,6.241475923,NA,NA,16,21.99433142,-74.01931976,-77.918,-72.8617306,340,64,1.374645714,-4.626207485,-4.869875,-4.553858163,NA,NA,NA,1,21.99433142
2559159,Jason Croom,BUF,TE,49,2,6,0,42.6591166,19.03777023,0.044671151,9,42.6591166,349.2,58.9,14.5,6.365816291,NA,NA,16,21.39624776,-74.61740342,-81.898,-73.21522838,343,66,1.337265485,-4.663587714,-5.118625,-4.575951774,NA,NA,NA,1,21.39624776
2558942,Anthony Firkser,TEN,TE,49,1,11,7.4,29.7511575,9.636289374,1.661100016,9,22.3511575,403,71.4,10.4,5.091327518,NA,NA,16,21.31129776,-74.70235343,-74.498,-86.12318748,346,69,1.33195611,-4.668897089,-4.656125,-5.382699218,NA,NA,NA,1,21.31129776
2561018,D.J. Chark,JAC,WR,23,1,10,9.793251029,78.5446405,25.28019965,0.796623795,11,68.75138947,230.3,89.5,14.1,4.831048625,NA,NA,16,47.7296756,-75.34880707,-94.81502049,-60.69965361,347,104,2.983104725,-4.709300442,-5.925938781,-3.79372835,NA,NA,NA,1,47.7296756
2540928,Darren Fells,HOU,TE,33,7,10,0,37.64801835,18.12721529,1.898446808,9,37.64801835,390,89.1,17.1,7.174028684,NA,NA,16,20.54286124,-75.47078994,-81.898,-78.22632663,348,70,1.283928828,-4.716924372,-5.118625,-4.889145415,NA,NA,NA,1,20.54286124
2555209,Chris Moore,BAL,WR,26,3,8,14.71566393,75.58391841,37.57380383,0.910977278,11,60.86825447,336.7,128.2,14.1,4.831048625,NA,NA,16,47.15836863,-75.92011404,-89.89260759,-63.6603757,349,105,2.947398039,-4.745007128,-5.618287974,-3.978773481,NA,NA,NA,1,47.15836863
2558194,Josh Reynolds,LAR,WR,24,2,9,23.9859,62.34310484,16.03173739,1.1103976,11,38.35720484,242.7,92.6,11.5,4.229035813,NA,NA,16,46.70773498,-76.37074769,-80.62237152,-76.90118926,351,106,2.919233436,-4.773171731,-5.03889822,-4.806324329,NA,NA,NA,1,46.70773498
2553631,Zach Zenner,DET,RB,NA,NA,5,-0.350523937,56.96457548,22.11453548,0.46596411,12,57.31509942,329.2,96.7,11.7,4.901382167,NA,NA,16,40.63511005,-76.45733598,-82.06976596,-79.90126151,352,81,2.539694378,-4.891717003,-5.129360372,-5.52020038,NA,NA,NA,1,40.63511005
2556440,J.D. McKissic,SEA,RB,26,3,11,18.71345927,51.54002144,13.9907191,2.530350741,12,32.82656217,340.8,113.7,22.7,8.119437778,NA,NA,16,40.1126329,-76.97981313,-63.00578275,-85.32581555,354,83,2.507039557,-4.924371825,-3.937861422,-5.859235007,NA,NA,NA,1,40.1126329
2560734,Troy Fumagalli,DEN,TE,NA,1,10,0,24.28586364,16.31144904,0.294707529,9,24.28586364,NA,86.6,11.8,5.526518807,NA,NA,16,18.75753425,-77.25611694,-81.898,-91.58848134,355,71,1.17234589,-4.828507309,-5.118625,-5.724280084,NA,NA,NA,1,18.75753425
2558914,Kendrick Bourne,SF,WR,24,2,4,-0.027478992,60.1869564,23.63708587,0.571211413,11,60.21443539,311.5,118.5,15.9,5.247826725,NA,NA,16,45.78704772,-77.29143495,-104.6357505,-79.05733771,356,107,2.861690483,-4.830714684,-6.539734407,-4.941083607,NA,NA,NA,1,45.78704772
2559385,Dan Arnold,NO,TE,49,2,9,1.651,33.65867074,12.12538692,0.268107113,9,32.00767074,392,68.5,8.9,4.625051138,NA,NA,11.4007,18.53129462,-77.48235657,-80.247,-82.21567424,357,72,1.625452351,-4.375400848,-4.973809331,-4.289812868,NA,NA,NA,1,18.53129462
2562720,Drew Sample,CIN,TE,NA,0,9,0.4,36.39439536,16.98945324,0.274351209,9,35.99439536,399.3,76.4,15.8,6.769922487,NA,NA,16,18.39435881,-77.61929237,-81.498,-79.47994962,358,73,1.149647426,-4.851205773,-5.093625,-4.967496851,NA,NA,NA,1,18.39435881
2495347,Lee Smith,BUF,TE,32,8,6,0,41.54155963,24.55377483,0.639090621,9,41.54155963,369,71.4,23.4,9.132389481,NA,NA,16,18.1320162,-77.88163499,-81.898,-74.33278535,360,74,1.133251013,-4.867602187,-5.118625,-4.645799084,NA,NA,NA,1,18.1320162
2552402,Nick Boyle,BAL,TE,26,4,8,9.114051546,22.10370909,5.733259627,1.316348866,9,12.98965754,355,69.8,10.2,5.029157334,NA,NA,16,18.10799901,-77.90565218,-72.78394845,-93.77063589,361,75,1.131749938,-4.869103261,-4.548996778,-5.860664743,NA,NA,NA,1,18.10799901
2540145,Cordarrelle Patterson,CHI,WR,28,6,6,22.63457386,57.661485,13.66278496,0.186214739,11,35.02691114,275.5,84.5,0.5,1.682058532,NA,NA,16,45.02404558,-78.05443709,-81.97369766,-81.5828091,362,109,2.814002849,-4.878402318,-5.123356104,-5.098925569,NA,NA,NA,1,45.02404558
2540145,Cordarrelle Patterson,CHI,WR,28,6,6,22.63457386,57.661485,13.66278496,0.516351186,11,35.02691114,275.5,105.3,11.4,4.205881474,NA,NA,16,45.02404558,-78.05443709,-81.97369766,-81.5828091,362,109,2.814002849,-4.878402318,-5.123356104,-5.098925569,NA,NA,NA,1,45.02404558
2562489,Terry McLaurin,WAS,WR,49,0,10,6.44,79.20907322,24.81228868,1.223318416,11,72.76907322,226.8,90.5,17.3,5.57198747,NA,NA,16,44.6516161,-78.42686657,-98.16827152,-60.03522088,365,110,2.790726006,-4.901679161,-6.13551697,-3.752201305,NA,NA,NA,1,44.6516161
2562492,Jakobi Meyers,NE,WR,49,0,10,0,82.77939101,43.73312889,1.925430377,11,82.77939101,262.1,100.5,21.1,6.451852349,2,NA,16,44.36377269,-78.71470998,-104.6082715,-56.46490309,366,111,2.772735793,-4.919669374,-6.53801697,-3.529056443,NA,NA,NA,1,44.36377269
2540203,Levine Toilolo,SF,TE,28,6,4,0,25.85957515,10.54757198,0.306348514,9,25.85957515,406,80.4,15.4,6.645582119,NA,NA,16,16.87785215,-79.13579904,-81.898,-90.01476983,368,77,1.054865759,-4.94598744,-5.118625,-5.625923114,NA,NA,NA,1,16.87785215
2552468,Maxx Williams,ARI,TE,25,4,12,0,23.70746944,9.27640697,0.402883333,9,23.70746944,357.2,71.2,13.2,5.961710095,NA,NA,16,16.70544814,-79.30820305,-81.898,-92.16687554,369,78,1.044090509,-4.95676269,-5.118625,-5.760429721,NA,NA,NA,1,16.70544814
2543683,Austin Seferian-Jenkins,FA,TE,27,5,NA,0,29.686,22.55193974,0.400173201,9,29.686,282,45.5,32.9,12.08547322,NA,NA,16,16.43755913,-79.57609206,-81.898,-86.18834498,370,79,1.027347446,-4.973505754,-5.118625,-5.386771561,NA,NA,NA,1,16.43755913
2552403,Nick OLeary,MIA,TE,27,4,5,0,23.41572364,13.10464631,0.377413632,9,23.41572364,378,69.3,10.5,5.12241261,NA,NA,16,16.16757048,-79.8460807,-81.898,-92.45862134,371,80,1.010473155,-4.990380044,-5.118625,-5.778663834,NA,NA,NA,1,16.16757048
2541199,Luke Willson,OAK,TE,29,6,6,0,24.45516963,9.660829279,0.942574943,9,24.45516963,345.2,52.2,11.4,5.402178439,NA,NA,16,15.90720137,-80.10644981,-81.898,-91.41917535,372,81,0.994200086,-5.006653113,-5.118625,-5.713698459,NA,NA,NA,1,15.90720137
2552429,Ty Montgomery,NYJ,RB,26,4,4,17.3221017,48.54863528,14.16371868,0.662844356,12,31.22653357,272.9,81.5,12.6,5.164677626,NA,NA,16,36.88227344,-80.21017259,-64.39714032,-88.31720171,374,86,2.30514209,-5.126269291,-4.02482127,-6.046196643,NA,NA,NA,1,36.88227344
2533046,Dwayne Allen,MIA,TE,29,7,5,0,26.04325429,11.4036553,1.705362345,9,26.04325429,381.2,71.8,20.1,8.106581444,NA,NA,16,15.67311233,-80.34053886,-81.898,-89.83109069,375,82,0.97956952,-5.021283679,-5.118625,-5.614443168,NA,NA,NA,1,15.67311233
2543590,Cody Latimer,NYG,WR,27,5,11,22.59295,71.32108207,20.88837547,2.311947975,11,48.72813207,313.5,121.4,19.9,6.174000282,NA,NA,16,42.38386193,-80.69462074,-82.01532152,-67.92321203,377,113,2.648991371,-5.043413796,-5.125957595,-4.245200752,NA,NA,NA,1,42.38386193
2557952,Wayne Gallman,NYG,RB,25,2,11,14.08797606,50.13902606,12.19782644,0.126310451,12,36.05105,303.8,88.1,9.3,4.199260943,NA,NA,16,36.27447461,-80.81797142,-67.63126596,-86.72681093,378,87,2.267154663,-5.164256718,-4.226954122,-5.946797219,NA,NA,NA,1,36.27447461
2543603,Jeremy Hill,FA,RB,27,5,NA,0,54.32727273,45.48048026,0.166498829,12,54.32727273,332.5,113.2,21.9,7.88539737,NA,NA,16,36.16438356,-80.92806247,-81.71924202,-82.53856426,379,88,2.260273973,-5.171137409,-5.107452626,-5.685031802,NA,NA,NA,1,36.16438356
2560933,Jordan Wilkins,IND,RB,25,1,6,11.97592847,62.43064068,25.18409785,0.344289487,12,50.45471221,283.1,84.3,9,4.11149579,NA,NA,16,36.13194476,-80.96050127,-69.74331355,-74.43519631,381,89,2.258246548,-5.173164833,-4.358957097,-5.178571305,NA,NA,NA,1,36.13194476
